Olympus Has Fallen,"'Action,Thriller'",'Antoine Fuqua',"'Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett'",2013,119,98.9
Red Dawn,"'Action,Thriller'",'Dan Bradley',"'Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck'",2012,93,44.8
Taken,"'Action,Thriller'",'Pierre Morel',"'Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser'",2008,93,145
Taken 3,"'Action,Thriller'",'Olivier Megaton',"'Liam Neeson, Forest Whitaker, Maggie Grace,Famke Janssen'",2014,109,89.25
The Dark Knight Rises,"'Action,Thriller'",'Christopher Nolan',"'Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman'",2012,164,448.13
Unstoppable,"'Action,Thriller'",'Tony Scott',"'Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee'",2010,98,81.56
127 Hours,"'Adventure,Biography,Drama'",'Danny Boyle',"'James Franco, Amber Tamblyn, Kate Mara, Sean Bott'",2010,94,18.33
Into the Wild,"'Adventure,Biography,Drama'",'Sean Penn',"'Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden'",2007,148,18.35
Rescue Dawn,"'Adventure,Biography,Drama'",'Werner Herzog',"'Christian Bale, Steve Zahn, Jeremy Davies, Zach Grenier'",2006,120,5.48
Wild,"'Adventure,Biography,Drama'",'Jean-Marc Vallee',"'Reese Witherspoon, Laura Dern, Gaby Hoffmann,Michiel Huisman'",2014,115,37.88
Hunt for the Wilderpeople,"'Adventure,Comedy,Drama'",'Taika Waititi',"'Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House'",2016,101,5.2
Into the Woods,"'Adventure,Comedy,Drama'",'Rob Marshall',"'Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt'",2014,125,128
The Grand Budapest Hotel,"'Adventure,Comedy,Drama'",'Wes Anderson',"'Ralph Fiennes, F. Murray Abraham, Mathieu Amalric,Adrien Brody'",2014,99,59.07
The Kings of Summer,"'Adventure,Comedy,Drama'",'Jordan Vogt-Roberts',"'Nick Robinson, Gabriel Basso, Moises Arias,Nick Offerman'",2013,95,1.29
The Secret Life of Walter Mitty,"'Adventure,Comedy,Drama'",'Ben Stiller',"'Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn'",2013,114,58.23
Goosebumps,"'Adventure,Comedy,Family'",'Rob Letterman',"'Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee'",2015,103,80.02
Zombieland,"'Adventure,Comedy,Horror'",'Ruben Fleischer',"'Jesse Eisenberg, Emma Stone, Woody Harrelson,Abigail Breslin'",2009,88,75.59
Paul,"'Adventure,Comedy,Sci-Fi'",'Greg Mottola',"'Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard'",2011,104,37.37
Vacation,"'Adventure,Comedy'",'John Francis Daley',"'Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins'",2015,99,58.88
Bridge to Terabithia,"'Adventure,Drama,Family'",'Gabor Csupo',"'Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick'",2007,96,82.23
Hugo,"'Adventure,Drama,Family'",'Martin Scorsese',"'Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley'",2011,126,73.82
Miss Peregrine's Home for Peculiar Children,"'Adventure,Drama,Family'",'Tim Burton',"'Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench'",2016,127,87.24
The Jungle Book,"'Adventure,Drama,Family'",'Jon Favreau',"'Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba'",2016,106,364
Harry Potter and the Deathly Hallows: Part 2,"'Adventure,Drama,Fantasy'",'David Yates',"'Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon'",2011,130,380.96
Life of Pi,"'Adventure,Drama,Fantasy'",'Ang Lee',"'Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu'",2012,127,124.98
