The Bad Batch,"'Romance,Sci-Fi'",'Ana Lily Amirpour',"'Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna'",2016,118,
The Happening,"'Sci-Fi,Thriller'",'M. Night Shyamalan',"'Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez'",2008,91,64.51
Death Proof,'Thriller','Quentin Tarantino',"'Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito'",2007,113,
Only for One Night,'Thriller','Chris Stokes',"'Brian White, Karrueche Tran, Angelique Pereira,Jessica Vanessa DeLeon'",2016,86,
The Guest,'Thriller','Adam Wingard',"'Dan Stevens, Sheila Kelley, Maika Monroe, Joel David Moore'",2014,100,0.32
The Thinning,'Thriller','Michael J. Gallagher',"'Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy'",2016,81,
6 Bullets,"'Action,Adventure'",Ernie Barbarash,"'Jean-Claude Van Damme, Joe Flanigan, Anna-Louise Plowman, Charlotte Beaumont, Steve Nicolson'",2012,115,
Air Force One,"'Action,Adventure'",Wolfgang Petersen,"'Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Paul Guilfoyle, William H. Macy, Liesel Matthews, Dean Stockwell'",1997,125,
American Outlaws,"'Action,Adventure'",Les Mayfield,"'Colin Farrell, Scott Caan, Ali Larter, Gabriel Macht, Gregory Smith, Harris Yulin, Kathy Bates, Timothy Dalton, Ty O'Neal, Will McCormack, Ronny Cox, Terry O'Quinn, Muse Watson, Joe Stevens, Barry Tubb'",2001,94,
Batman: The Killing Joke,"'Action,Adventure'",Sam Liu,"'Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, John DiMaggio, Robin Atkin Downes, Brian George, JP Karliak, Andrew Kishino, Nolan North'",2016,77,
Braven,"'Action,Adventure'",Lin Oeding,"'Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang, Sasha Rosoff, Sala Baker, Fraser Aitcheson, Teach Grant, Glenn Ennis, Todd Scott, Zahn McClarnon, Brendan Fletcher'",2018,94,
Cliffhanger,"'Action,Adventure'",Renny Harlin,"'Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner'",1993,113,
Cradle 2 the Grave,"'Action,Adventure'",Andrzej Bartkowiak,"'Jet Li, DMX, Anthony Anderson, Kelly Hu, Tom Arnold, Mark Dacascos, Gabrielle Union, Michael Jace, Drag-On, Paige Hurd'",2003,101,
Dead Man Down,"'Action,Adventure'",Niels Arden Oplev,"'Colin Farrell, Noomi Rapace, Terrence Howard, Dominic Cooper, Isabelle Huppert, Luis Da Silva Jr., Armand Assante, F. Murray Abraham'",2013,118,
Homefront,"'Action,Adventure'",Gary Fleder,"'Jason Statham, James Franco, Izabela Vidovic, Kate Bosworth, Marcus Hester, Clancy Brown, Winona Ryder, Omar Benson Miller, Rachelle Lefevre, Frank Grillo, Chuck Zito, Pruitt Taylor Vince'",2013,100,
London Heist,"'Action,Adventure'",Mark McQueen,"'Craig Fairbrass, James Cosmo, Mem Ferda, Nick Moran, Steven Berkoff, Nathalie Cox, Roland Manookian, Eddie Webber, Tony Denham, Katie Clarkson-Hill'",2017,96,
Machete Kills,"'Action,Adventure'",Robert Rodriguez,"'Danny Trejo, Sofía Vergara, Charlie Sheen, Michelle Rodriguez, Demián Bichir, Amber Heard, Mel Gibson, William Sadler, Alexa PenaVega, Antonio Banderas, Lady Gaga, Cuba Gooding Jr., Jessica Alba, Walton Goggins, Vanessa Hudgens'",2013,108,
No Escape,"'Action,Adventure'",John Erick Dowdle,"'Owen Wilson, Lake Bell, Pierce Brosnan, Sterling Jerins, Claire Geare, Thanawut Ketsaro, Chatchawai Kamonsakpitak, Sahajak Boonthanakit'",2015,103,
Sleepless,"'Action,Adventure'",Baran bo Odar,"'Jamie Foxx, Michelle Monaghan, Scoot McNairy, Dermot Mulroney, T.I., David Harbour, Gabrielle Union, Octavius J. Johnson, Tim Connolly, Drew Sheer'",2017,95,
