Sweet & Sour,"'Comedy,International, Romance'",Lee Kae-byeok,"'Jang Ki-yong, Chae Soo-bin, Jung Soo-jung'",2021,,
Rock the Kasbah,"'Comedy,Musical'",Barry Levinson,"'Bill Murray, Kate Hudson, Zooey Deschanel, Danny McBride'",2015,106,
School of Rock,"'Comedy,Musical'",Richard Linklater,"'Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof'",2003,110,
Fools Rush In,"'Comedy,Romance'",Andy Tennant,"'Matthew Perry, Salma Hayek, Jon Tenney, Carlos Gómez, Tomas Milian, Siobhan Fallon Hogan, John Bennett Perry, Stanley DeSantis, Suzanne Snyder, Anne Betancourt, Jill Clayburgh'",1997,109,
Good on Paper,"'Comedy,Romance'",Kimmy Gatewood,"'Iliza Shlesinger, Ryan Hansen, Margaret Cho, Rebecca Rittenhouse, Matt McGorry, Tyler Cameron, Taylor Hill, Kimia Behpoornia, Rebecca Delgado Smith, Beth Dover'",2021,94,
Legally Blonde,"'Comedy,Romance'",Robert Luketic,"'Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge'",2001,96,
The Four Seasons,"'Comedy,Romance'",Alan Alda,"'Alan Alda, Carol Burnett, Len Cariou, Sandy Dennis, Rita Moreno, Jack Weston, Bess Armstrong, Elizabeth Alda, Beatrice Alda'",1981,108,
The Sweetest Thing,"'Comedy,Romance'",Roger Kumble,"'Cameron Diaz, Christina Applegate, Selma Blair, Thomas Jane, Jason Bateman, Parker Posey, Frank Grillo, Eddie McClintock, Lillian Adams, Johnny Messner'",2002,89,
Yes Man,"'Comedy,Romance'",Peyton Reed,"'Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins, Rhys Darby, Danny Masterson, Fionnula Flanagan, Terence Stamp, Sasha Alexander, Molly Sims'",2008,104,
Hostel: Part III,"'Cult,Horror'",Scott Spiegel,"'Kip Pardue, Brian Hallisay, John Hensley, Sarah Habel, Chris Coy, Skyler Stone, Thomas Kretschmann, Zulay Henao, Nickola Shreli, Derrick Carr'",2011,88,
Framing John DeLorean,"'Documentaries,Drama'","Don Argott, Sheena M. Joyce","'Alec Baldwin, Josh Charles, Morena Baccarin, Dean Winters, Michael Rispoli, Dana Ashbrook, Jason Jones, Josh Cooke, Sean Cullen, William Hill'",2019,109,
